Fund_Name,Category,AMC,Risk_Level,Rating,Return_1Y,Return_3Y,Return_5Y,Expense_Ratio,Min_SIP,Volatility
UTI Small Cap Fund - Regular Plan 26,Equity - Small Cap,UTI,Very High,4,23.45,19.26,20.11,0.37,1000,0.224
UTI Liquid Fund - Regular Plan 27,Debt - Liquid,UTI,Low,5,6.17,10.89,9.18,1.28,1000,0.04
Kotak Liquid Fund - Regular Plan 28,Debt - Liquid,Kotak,Low,4,6.25,4.9,7.12,1.06,500,0.04
UTI Corporate Bond Fund - Regular Plan 29,Debt - Corporate Bond,UTI,Moderate,3,6.18,5.55,7.54,0.99,500,0.022
Tata Balanced Advantage Fund - Regular Plan 30,Hybrid - Balanced Advantage,Tata,High,4,20.66,13.95,14.39,0.35,500,0.12
Nippon India Small Cap Fund - Regular Plan 31,Equity - Small Cap,Nippon India,Very High,5,26.34,21.0,23.98,1.14,500,0.166
Kotak Gilt Fund - Regular Plan 32,Debt - Gilt,Kotak,Moderate,5,10.79,6.19,6.8,0.59,1000,0.026
DSP Gilt Fund - Regular Plan 33,Debt - Gilt,DSP,Moderate,5,9.5,5.9,7.72,1.4,500,0.034
ICICI Prudential Small Cap Fund - Regular Plan 34,Equity - Small Cap,ICICI Prudential,Very High,5,22.47,23.37,23.5,0.9,500,0.166
Nippon India Aggressive Fund - Regular Plan 35,Hybrid - Aggressive,Nippon India,High,4,15.96,13.97,13.12,0.66,100,0.087
HDFC Mid Cap Fund - Regular Plan 36,Equity - Mid Cap,HDFC,High,5,22.61,26.79,23.16,0.51,1000,0.207
SBI Flexi Cap Fund - Regular Plan 37,Equity - Flexi Cap,SBI,Moderately High,5,17.91,13.38,15.16,0.24,500,0.216
UTI Balanced Advantage Fund - Regular Plan 38,Hybrid - Balanced Advantage,UTI,High,3,12.54,13.97,13.98,0.24,1000,0.095
Nippon India Aggressive Fund - Regular Plan 39,Hybrid - Aggressive,Nippon India,High,5,14.84,15.81,12.5,1.29,500,0.104
Axis Gilt Fund - Regular Plan 40,Debt - Gilt,Axis,Moderate,4,9.69,5.63,5.59,0.38,500,0.041
Quant Liquid Fund - Regular Plan 41,Debt - Liquid,Quant,Low,5,4.5,7.18,5.77,0.64,100,0.026
UTI Balanced Advantage Fund - Regular Plan 42,Hybrid - Balanced Advantage,UTI,High,5,15.94,14.06,12.04,0.74,1000,0.111
Kotak Short Duration Fund - Regular Plan 43,Debt - Short Duration,Kotak,Moderate,5,10.74,6.08,7.12,0.89,1000,0.022
Nippon India Short Duration Fund - Regular Plan 44,Debt - Short Duration,Nippon India,Moderate,3,11.77,6.53,7.66,1.36,100,0.032
Nippon India Short Duration Fund - Regular Plan 45,Debt - Short Duration,Nippon India,Moderate,5,5.74,7.95,7.26,0.43,500,0.031
Axis Mid Cap Fund - Regular Plan 46,Equity - Mid Cap,Axis,High,5,19.6,17.81,20.98,1.31,100,0.172
Axis Balanced Advantage Fund - Regular Plan 47,Hybrid - Balanced Advantage,Axis,High,5,16.37,13.07,13.95,0.52,100,0.131
Kotak Liquid Fund - Regular Plan 48,Debt - Liquid,Kotak,Low,5,6.17,5.76,8.98,1.17,500,0.046
SBI Flexi Cap Fund - Regular Plan 49,Equity - Flexi Cap,SBI,Moderately High,3,10.93,14.48,11.99,1.19,100,0.215
Axis Aggressive Fund - Regular Plan 50,Hybrid - Aggressive,Axis,High,3,11.99,16.07,15.02,0.84,1000,0.115
Mirae Asset Small Cap Fund - Regular Plan 51,Equity - Small Cap,Mirae Asset,Very High,4,16.1,18.38,19.57,1.37,500,0.204
SBI Short Duration Fund - Regular Plan 52,Debt - Short Duration,SBI,Moderate,3,5.04,7.58,9.27,0.2,500,0.028
Mirae Asset Aggressive Fund - Regular Plan 53,Hybrid - Aggressive,Mirae Asset,High,4,10.11,11.43,12.5,0.44,100,0.09
Tata Balanced Advantage Fund - Regular Plan 54,Hybrid - Balanced Advantage,Tata,High,4,12.92,12.17,14.73,0.71,1000,0.082
DSP Flexi Cap Fund - Regular Plan 55,Equity - Flexi Cap,DSP,Moderately High,4,19.66,16.6,15.19,0.12,1000,0.177
Kotak Large Cap Fund - Regular Plan 56,Equity - Large Cap,Kotak,Moderately High,4,18.4,19.09,19.81,1.34,100,0.164
Quant Gilt Fund - Regular Plan 57,Debt - Gilt,Quant,Moderate,5,10.46,8.27,5.68,0.75,100,0.033
SBI Aggressive Fund - Regular Plan 58,Hybrid - Aggressive,SBI,High,5,11.08,8.83,11.97,1.14,100,0.095
Mirae Asset Small Cap Fund - Regular Plan 59,Equity - Small Cap,Mirae Asset,Very High,5,23.98,22.62,21.99,0.95,500,0.161
SBI Aggressive Fund - Regular Plan 60,Hybrid - Aggressive,SBI,High,5,12.84,12.83,15.69,0.69,100,0.114
UTI Large Cap Fund - Regular Plan 61,Equity - Large Cap,UTI,Moderately High,5,23.01,22.2,22.36,1.49,1000,0.166
HDFC Mid Cap Fund - Regular Plan 62,Equity - Mid Cap,HDFC,High,5,20.88,23.92,23.64,1.38,100,0.183
DSP Mid Cap Fund - Regular Plan 63,Equity - Mid Cap,DSP,High,4,15.86,18.74,15.37,0.63,100,0.235
UTI Aggressive Fund - Regular Plan 64,Hybrid - Aggressive,UTI,High,4,8.71,12.36,13.21,0.78,100,0.081
Quant Short Duration Fund - Regular Plan 65,Debt - Short Duration,Quant,Moderate,3,2.7,6.88,5.33,0.53,500,0.021
Quant Small Cap Fund - Regular Plan 66,Equity - Small Cap,Quant,Very High,3,18.54,14.74,14.61,1.35,1000,0.227
Nippon India Gilt Fund - Regular Plan 67,Debt - Gilt,Nippon India,Moderate,4,13.0,6.46,8.47,1.49,500,0.035
Quant Short Duration Fund - Regular Plan 68,Debt - Short Duration,Quant,Moderate,4,4.94,8.51,9.04,1.28,100,0.025
ICICI Prudential Balanced Advantage Fund - Regular Plan 69,Hybrid - Balanced Advantage,ICICI Prudential,High,4,6.85,12.99,9.75,0.72,500,0.114
Parag Parikh Flexi Cap Fund - Regular Plan 70,Equity - Flexi Cap,Parag Parikh,Moderately High,3,17.59,23.22,23.37,1.17,500,0.217
Tata Corporate Bond Fund - Regular Plan 71,Debt - Corporate Bond,Tata,Moderate,4,5.52,8.8,6.09,0.25,500,0.039
Kotak Short Duration Fund - Regular Plan 72,Debt - Short Duration,Kotak,Moderate,4,11.53,7.23,5.8,1.29,1000,0.027
ICICI Prudential Short Duration Fund - Regular Plan 73,Debt - Short Duration,ICICI Prudential,Moderate,5,9.22,7.45,5.98,0.21,100,0.045
Mirae Asset Short Duration Fund - Regular Plan 74,Debt - Short Duration,Mirae Asset,Moderate,5,12.2,10.08,7.45,0.22,100,0.026
Mirae Asset Large Cap Fund - Regular Plan 75,Equity - Large Cap,Mirae Asset,Moderately High,4,18.31,19.15,17.09,0.58,100,0.247
ICICI Prudential Short Duration Fund - Regular Plan 76,Debt - Short Duration,ICICI Prudential,Moderate,5,10.64,4.55,5.81,0.18,100,0.03
Nippon India Gilt Fund - Regular Plan 77,Debt - Gilt,Nippon India,Moderate,3,8.49,6.05,5.34,0.42,500,0.027
HDFC Corporate Bond Fund - Regular Plan 78,Debt - Corporate Bond,HDFC,Moderate,5,4.04,8.63,7.64,0.78,1000,0.046
Parag Parikh Gilt Fund - Regular Plan 79,Debt - Gilt,Parag Parikh,Moderate,5,10.87,8.39,8.44,0.21,100,0.023
UTI Gilt Fund - Regular Plan 80,Debt - Gilt,UTI,Moderate,4,4.9,5.04,7.38,0.8,1000,0.036
Parag Parikh Mid Cap Fund - Regular Plan 81,Equity - Mid Cap,Parag Parikh,High,4,9.98,14.75,14.11,1.45,500,0.248
Axis Small Cap Fund - Regular Plan 82,Equity - Small Cap,Axis,Very High,3,13.57,18.01,15.26,1.49,1000,0.174
Nippon India Short Duration Fund - Regular Plan 83,Debt - Short Duration,Nippon India,Moderate,5,11.53,7.67,8.91,0.92,1000,0.036
Parag Parikh Large Cap Fund - Regular Plan 84,Equity - Large Cap,Parag Parikh,Moderately High,4,16.39,13.75,13.29,0.35,100,0.183
Mirae Asset Small Cap Fund - Regular Plan 85,Equity - Small Cap,Mirae Asset,Very High,4,28.31,25.38,24.61,0.69,500,0.232
SBI Balanced Advantage Fund - Regular Plan 86,Hybrid - Balanced Advantage,SBI,High,4,19.2,15.48,15.41,0.31,100,0.127
Tata Corporate Bond Fund - Regular Plan 87,Debt - Corporate Bond,Tata,Moderate,5,5.68,8.98,8.18,0.41,100,0.021
Quant Flexi Cap Fund - Regular Plan 88,Equity - Flexi Cap,Quant,Moderately High,3,21.74,16.12,16.93,0.47,100,0.154
ICICI Prudential Corporate Bond Fund - Regular Plan 89,Debt - Corporate Bond,ICICI Prudential,Moderate,4,8.5,9.87,7.13,0.79,1000,0.039
Nippon India Flexi Cap Fund - Regular Plan 90,Equity - Flexi Cap,Nippon India,Moderately High,4,21.67,16.99,18.71,0.87,100,0.198
Tata Short Duration Fund - Regular Plan 91,Debt - Short Duration,Tata,Moderate,5,2.05,5.6,6.95,1.38,500,0.05
ICICI Prudential Liquid Fund - Regular Plan 92,Debt - Liquid,ICICI Prudential,Low,5,13.69,9.84,8.57,1.42,500,0.039
Nippon India Gilt Fund - Regular Plan 93,Debt - Gilt,Nippon India,Moderate,5,5.99,5.38,4.62,0.8,1000,0.033
DSP Aggressive Fund - Regular Plan 94,Hybrid - Aggressive,DSP,High,4,9.04,11.21,11.54,0.91,500,0.083
Tata Liquid Fund - Regular Plan 95,Debt - Liquid,Tata,Low,4,12.66,5.45,7.78,0.12,100,0.023
SBI Flexi Cap Fund - Regular Plan 96,Equity - Flexi Cap,SBI,Moderately High,4,17.72,17.18,16.2,0.31,100,0.207
ICICI Prudential Small Cap Fund - Regular Plan 97,Equity - Small Cap,ICICI Prudential,Very High,4,13.09,18.81,16.07,0.51,500,0.194
Axis Large Cap Fund - Regular Plan 98,Equity - Large Cap,Axis,Moderately High,4,21.33,24.24,24.35,0.52,500,0.157
Nippon India Aggressive Fund - Regular Plan 99,Hybrid - Aggressive,Nippon India,High,4,11.04,10.8,13.99,0.74,500,0.135
Nippon India Gilt Fund - Regular Plan 100,Debt - Gilt,Nippon India,Moderate,5,4.27,9.38,8.2,0.55,100,0.048
DSP Balanced Advantage Fund - Regular Plan 101,Hybrid - Balanced Advantage,DSP,High,4,15.19,10.39,10.82,1.43,500,0.098
DSP Short Duration Fund - Regular Plan 102,Debt - Short Duration,DSP,Moderate,5,2.94,4.74,4.06,0.76,1000,0.029
ICICI Prudential Liquid Fund - Regular Plan 103,Debt - Liquid,ICICI Prudential,Low,5,6.76,8.83,7.54,0.65,100,0.03
Nippon India Liquid Fund - Regular Plan 104,Debt - Liquid,Nippon India,Low,4,8.47,6.43,6.95,1.12,100,0.034
UTI Large Cap Fund - Regular Plan 105,Equity - Large Cap,UTI,Moderately High,4,14.68,15.12,13.33,1.23,500,0.209
HDFC Gilt Fund - Regular Plan 106,Debt - Gilt,HDFC,Moderate,4,13.41,9.88,8.67,0.23,1000,0.041
UTI Corporate Bond Fund - Regular Plan 107,Debt - Corporate Bond,UTI,Moderate,5,8.39,6.51,7.33,0.86,500,0.042
Axis Aggressive Fund - Regular Plan 108,Hybrid - Aggressive,Axis,High,3,16.0,11.02,11.63,0.53,1000,0.115
SBI Large Cap Fund - Regular Plan 109,Equity - Large Cap,SBI,Moderately High,4,22.88,24.59,24.74,0.99,500,0.247
ICICI Prudential Corporate Bond Fund - Regular Plan 110,Debt - Corporate Bond,ICICI Prudential,Moderate,5,8.82,8.63,8.17,0.55,500,0.046
Kotak Flexi Cap Fund - Regular Plan 111,Equity - Flexi Cap,Kotak,Moderately High,3,18.07,18.62,21.68,0.59,100,0.203
Nippon India Aggressive Fund - Regular Plan 112,Hybrid - Aggressive,Nippon India,High,4,12.0,15.6,15.94,0.69,500,0.13
HDFC Gilt Fund - Regular Plan 113,Debt - Gilt,HDFC,Moderate,3,5.41,4.83,4.79,0.92,100,0.031
Kotak Short Duration Fund - Regular Plan 114,Debt - Short Duration,Kotak,Moderate,3,3.29,8.76,7.44,1.35,500,0.031
Kotak Short Duration Fund - Regular Plan 115,Debt - Short Duration,Kotak,Moderate,5,6.27,7.17,9.2,1.16,1000,0.036
DSP Large Cap Fund - Regular Plan 116,Equity - Large Cap,DSP,Moderately High,4,19.82,17.7,17.34,1.1,100,0.193
UTI Small Cap Fund - Regular Plan 117,Equity - Small Cap,UTI,Very High,3,22.84,24.13,23.81,0.63,100,0.161
Kotak Aggressive Fund - Regular Plan 118,Hybrid - Aggressive,Kotak,High,5,11.69,10.83,10.34,0.84,100,0.104
SBI Short Duration Fund - Regular Plan 119,Debt - Short Duration,SBI,Moderate,5,2.52,4.88,4.68,0.52,500,0.03
Quant Large Cap Fund - Regular Plan 120,Equity - Large Cap,Quant,Moderately High,5,23.97,24.19,23.85,0.12,1000,0.212
Mirae Asset Short Duration Fund - Regular Plan 121,Debt - Short Duration,Mirae Asset,Moderate,4,9.87,6.16,7.97,0.3,500,0.035
DSP Gilt Fund - Regular Plan 122,Debt - Gilt,DSP,Moderate,4,13.64,6.99,10.08,1.49,1000,0.027
Mirae Asset Small Cap Fund - Regular Plan 123,Equity - Small Cap,Mirae Asset,Very High,5,17.95,23.87,22.72,0.57,100,0.17
Mirae Asset Gilt Fund - Regular Plan 124,Debt - Gilt,Mirae Asset,Moderate,4,11.42,9.48,7.46,1.17,100,0.038
SBI Corporate Bond Fund - Regular Plan 125,Debt - Corporate Bond,SBI,Moderate,4,9.09,7.38,5.37,0.93,100,0.034
Tata Short Duration Fund - Regular Plan 126,Debt - Short Duration,Tata,Moderate,5,8.97,7.87,8.34,0.33,100,0.031
Mirae Asset Aggressive Fund - Regular Plan 127,Hybrid - Aggressive,Mirae Asset,High,5,13.67,11.42,11.19,1.08,1000,0.103
Axis Small Cap Fund - Regular Plan 128,Equity - Small Cap,Axis,Very High,5,22.91,22.56,25.86,1.26,1000,0.191
Tata Flexi Cap Fund - Regular Plan 129,Equity - Flexi Cap,Tata,Moderately High,4,17.59,22.41,20.98,0.32,100,0.177
ICICI Prudential Gilt Fund - Regular Plan 130,Debt - Gilt,ICICI Prudential,Moderate,5,7.57,5.33,7.81,1.01,500,0.035
UTI Corporate Bond Fund - Regular Plan 131,Debt - Corporate Bond,UTI,Moderate,4,4.33,5.23,6.25,1.22,1000,0.038
Kotak Aggressive Fund - Regular Plan 132,Hybrid - Aggressive,Kotak,High,3,17.86,11.84,12.58,1.21,1000,0.115
ICICI Prudential Flexi Cap Fund - Regular Plan 133,Equity - Flexi Cap,ICICI Prudential,Moderately High,5,22.6,18.43,19.69,1.3,500,0.189
Kotak Aggressive Fund - Regular Plan 134,Hybrid - Aggressive,Kotak,High,5,13.44,12.43,12.94,1.27,1000,0.096
Kotak Short Duration Fund - Regular Plan 135,Debt - Short Duration,Kotak,Moderate,4,11.93,9.16,9.29,0.52,1000,0.034
Axis Large Cap Fund - Regular Plan 136,Equity - Large Cap,Axis,Moderately High,5,15.96,13.9,13.31,0.64,1000,0.16
UTI Gilt Fund - Regular Plan 137,Debt - Gilt,UTI,Moderate,5,7.54,4.18,6.61,1.24,100,0.048
SBI Liquid Fund - Regular Plan 138,Debt - Liquid,SBI,Low,3,3.54,7.67,7.02,1.46,1000,0.032
Tata Gilt Fund - Regular Plan 139,Debt - Gilt,Tata,Moderate,3,7.44,9.69,8.04,0.45,1000,0.036
Nippon India Aggressive Fund - Regular Plan 140,Hybrid - Aggressive,Nippon India,High,5,15.65,12.47,15.5,0.67,1000,0.112
Axis Small Cap Fund - Regular Plan 141,Equity - Small Cap,Axis,Very High,4,13.85,14.21,15.72,0.28,100,0.152
Quant Liquid Fund - Regular Plan 142,Debt - Liquid,Quant,Low,5,7.81,4.83,5.83,1.19,1000,0.032
Mirae Asset Gilt Fund - Regular Plan 143,Debt - Gilt,Mirae Asset,Moderate,4,7.99,6.85,6.61,1.15,500,0.041
SBI Liquid Fund - Regular Plan 144,Debt - Liquid,SBI,Low,4,6.68,8.78,9.72,1.23,500,0.027
Mirae Asset Aggressive Fund - Regular Plan 145,Hybrid - Aggressive,Mirae Asset,High,4,13.37,10.26,12.72,1.25,100,0.116
HDFC Corporate Bond Fund - Regular Plan 146,Debt - Corporate Bond,HDFC,Moderate,4,8.33,5.05,6.29,0.81,500,0.045
Mirae Asset Flexi Cap Fund - Regular Plan 147,Equity - Flexi Cap,Mirae Asset,Moderately High,4,19.5,19.05,16.5,0.98,500,0.163
Kotak Corporate Bond Fund - Regular Plan 148,Debt - Corporate Bond,Kotak,Moderate,3,5.29,8.55,6.29,1.12,500,0.031
Axis Short Duration Fund - Regular Plan 149,Debt - Short Duration,Axis,Moderate,4,3.59,4.46,4.61,0.81,100,0.03
Quant Small Cap Fund - Regular Plan 150,Equity - Small Cap,Quant,Very High,5,14.49,16.76,20.22,1.19,1000,0.217
Mirae Asset Small Cap Fund - Regular Plan 151,Equity - Small Cap,Mirae Asset,Very High,5,16.42,17.49,17.85,0.43,100,0.244
Nippon India Liquid Fund - Regular Plan 152,Debt - Liquid,Nippon India,Low,5,13.01,10.99,10.12,1.49,100,0.04
HDFC Flexi Cap Fund - Regular Plan 153,Equity - Flexi Cap,HDFC,Moderately High,5,16.22,21.46,19.48,0.15,1000,0.2
ICICI Prudential Small Cap Fund - Regular Plan 154,Equity - Small Cap,ICICI Prudential,Very High,4,19.77,25.35,23.5,0.19,100,0.188
DSP Liquid Fund - Regular Plan 155,Debt - Liquid,DSP,Low,4,10.36,4.26,6.1,0.79,1000,0.043
HDFC Aggressive Fund - Regular Plan 156,Hybrid - Aggressive,HDFC,High,5,17.14,13.13,14.39,0.92,100,0.106
Nippon India Large Cap Fund - Regular Plan 157,Equity - Large Cap,Nippon India,Moderately High,3,14.75,13.09,13.53,0.13,500,0.204
ICICI Prudential Mid Cap Fund - Regular Plan 158,Equity - Mid Cap,ICICI Prudential,High,4,18.23,20.57,18.09,0.4,100,0.242
Axis Large Cap Fund - Regular Plan 159,Equity - Large Cap,Axis,Moderately High,5,18.77,19.26,16.58,0.68,100,0.241
DSP Aggressive Fund - Regular Plan 160,Hybrid - Aggressive,DSP,High,4,13.56,11.71,9.7,0.58,100,0.131
Parag Parikh Aggressive Fund - Regular Plan 161,Hybrid - Aggressive,Parag Parikh,High,4,14.77,13.16,15.25,1.46,500,0.083
Axis Balanced Advantage Fund - Regular Plan 162,Hybrid - Balanced Advantage,Axis,High,4,18.86,16.43,14.89,0.72,1000,0.113
HDFC Balanced Advantage Fund - Regular Plan 163,Hybrid - Balanced Advantage,HDFC,High,4,12.26,15.26,14.0,1.32,1000,0.119
DSP Corporate Bond Fund - Regular Plan 164,Debt - Corporate Bond,DSP,Moderate,3,7.04,6.53,8.12,0.83,1000,0.033
Axis Liquid Fund - Regular Plan 165,Debt - Liquid,Axis,Low,5,7.33,8.7,5.78,0.23,1000,0.049
Axis Balanced Advantage Fund - Regular Plan 166,Hybrid - Balanced Advantage,Axis,High,3,8.51,11.91,11.94,1.1,500,0.082
Axis Aggressive Fund - Regular Plan 167,Hybrid - Aggressive,Axis,High,3,14.41,16.85,14.86,1.27,100,0.082
HDFC Small Cap Fund - Regular Plan 168,Equity - Small Cap,HDFC,Very High,5,12.99,16.73,15.98,1.49,1000,0.234
Tata Large Cap Fund - Regular Plan 169,Equity - Large Cap,Tata,Moderately High,5,26.84,22.77,20.1,0.99,1000,0.155
Parag Parikh Small Cap Fund - Regular Plan 170,Equity - Small Cap,Parag Parikh,Very High,3,20.44,24.25,22.67,0.97,500,0.192
UTI Corporate Bond Fund - Regular Plan 171,Debt - Corporate Bond,UTI,Moderate,3,6.54,10.19,8.92,0.38,100,0.035
Nippon India Balanced Advantage Fund - Regular Plan 172,Hybrid - Balanced Advantage,Nippon India,High,5,13.21,10.3,10.9,0.53,1000,0.114
Kotak Aggressive Fund - Regular Plan 173,Hybrid - Aggressive,Kotak,High,4,15.98,14.4,16.41,0.48,1000,0.118
DSP Balanced Advantage Fund - Regular Plan 174,Hybrid - Balanced Advantage,DSP,High,4,14.6,13.98,12.99,1.22,500,0.133
Nippon India Aggressive Fund - Regular Plan 175,Hybrid - Aggressive,Nippon India,High,4,12.6,13.93,14.3,0.29,1000,0.09
Axis Large Cap Fund - Regular Plan 176,Equity - Large Cap,Axis,Moderately High,3,19.29,25.3,23.83,0.69,100,0.178
Mirae Asset Balanced Advantage Fund - Regular Plan 177,Hybrid - Balanced Advantage,Mirae Asset,High,3,17.42,12.73,14.17,1.45,1000,0.121
ICICI Prudential Gilt Fund - Regular Plan 178,Debt - Gilt,ICICI Prudential,Moderate,4,9.95,10.28,8.44,1.19,500,0.037
ICICI Prudential Balanced Advantage Fund - Regular Plan 179,Hybrid - Balanced Advantage,ICICI Prudential,High,3,11.38,11.3,11.8,0.33,500,0.121
Nippon India Large Cap Fund - Regular Plan 180,Equity - Large Cap,Nippon India,Moderately High,4,17.64,20.8,20.34,0.66,1000,0.194
Quant Corporate Bond Fund - Regular Plan 181,Debt - Corporate Bond,Quant,Moderate,4,10.83,8.58,7.04,0.74,500,0.029
Quant Gilt Fund - Regular Plan 182,Debt - Gilt,Quant,Moderate,5,3.95,7.52,8.52,0.41,500,0.027
DSP Large Cap Fund - Regular Plan 183,Equity - Large Cap,DSP,Moderately High,3,21.98,22.88,21.4,1.16,500,0.175
Kotak Corporate Bond Fund - Regular Plan 184,Debt - Corporate Bond,Kotak,Moderate,4,10.73,8.77,8.13,0.22,500,0.04
Axis Gilt Fund - Regular Plan 185,Debt - Gilt,Axis,Moderate,4,3.96,7.49,7.26,0.29,100,0.021
UTI Mid Cap Fund - Regular Plan 186,Equity - Mid Cap,UTI,High,5,14.21,13.72,14.66,1.33,100,0.167
DSP Large Cap Fund - Regular Plan 187,Equity - Large Cap,DSP,Moderately High,4,27.39,22.53,21.83,0.98,1000,0.164
DSP Small Cap Fund - Regular Plan 188,Equity - Small Cap,DSP,Very High,5,19.84,16.25,16.2,1.1,100,0.209
Axis Small Cap Fund - Regular Plan 189,Equity - Small Cap,Axis,Very High,4,25.89,22.2,24.25,0.61,1000,0.25
DSP Short Duration Fund - Regular Plan 190,Debt - Short Duration,DSP,Moderate,4,9.47,7.51,8.18,0.8,100,0.036
Quant Aggressive Fund - Regular Plan 191,Hybrid - Aggressive,Quant,High,5,10.8,15.04,13.98,1.47,1000,0.095
Axis Small Cap Fund - Regular Plan 192,Equity - Small Cap,Axis,Very High,3,25.05,18.87,20.73,0.96,500,0.162
Kotak Gilt Fund - Regular Plan 193,Debt - Gilt,Kotak,Moderate,3,11.17,6.13,6.02,0.27,1000,0.036
Quant Flexi Cap Fund - Regular Plan 194,Equity - Flexi Cap,Quant,Moderately High,5,19.25,24.08,22.08,0.24,1000,0.236
ICICI Prudential Large Cap Fund - Regular Plan 195,Equity - Large Cap,ICICI Prudential,Moderately High,4,18.14,23.22,21.86,0.81,1000,0.168
Tata Small Cap Fund - Regular Plan 196,Equity - Small Cap,Tata,Very High,5,20.96,18.55,17.58,1.32,1000,0.234
Axis Small Cap Fund - Regular Plan 197,Equity - Small Cap,Axis,Very High,4,16.97,22.27,20.85,0.86,100,0.23
Mirae Asset Gilt Fund - Regular Plan 198,Debt - Gilt,Mirae Asset,Moderate,3,7.41,6.98,7.68,1.36,1000,0.033
UTI Large Cap Fund - Regular Plan 199,Equity - Large Cap,UTI,Moderately High,4,19.16,19.73,19.83,1.3,500,0.204
ICICI Prudential Aggressive Fund - Regular Plan 200,Hybrid - Aggressive,ICICI Prudential,High,3,10.18,10.61,9.78,0.3,500,0.106
UTI Gilt Fund - Regular Plan 201,Debt - Gilt,UTI,Moderate,5,4.07,7.69,4.64,1.38,1000,0.041
HDFC Gilt Fund - Regular Plan 202,Debt - Gilt,HDFC,Moderate,5,7.44,7.21,7.78,1.33,1000,0.032
Axis Liquid Fund - Regular Plan 203,Debt - Liquid,Axis,Low,5,7.45,10.51,9.06,0.61,1000,0.033
Quant Small Cap Fund - Regular Plan 204,Equity - Small Cap,Quant,Very High,4,19.24,21.22,20.14,0.47,100,0.15
